"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2015",46763.880901,
"AUT","GDP","TOT","USD_CAP","A","2015",49959.258774,
"BEL","GDP","TOT","USD_CAP","A","2015",45577.244113,
"CAN","GDP","TOT","USD_CAP","A","2015",44627.323469,
"CZE","GDP","TOT","USD_CAP","A","2015",33478.622515,
"DNK","GDP","TOT","USD_CAP","A","2015",48687.542208,
"FIN","GDP","TOT","USD_CAP","A","2015",42059.119268,
"FRA","GDP","TOT","USD_CAP","A","2015",40489.194892,"P"
"DEU","GDP","TOT","USD_CAP","A","2015",47810.634528,
"GRC","GDP","TOT","USD_CAP","A","2015",26697.048831,"P"
"HUN","GDP","TOT","USD_CAP","A","2015",26157.455035,
"ISL","GDP","TOT","USD_CAP","A","2015",47055.872094,
"IRL","GDP","TOT","USD_CAP","A","2015",69458.885465,
"ITA","GDP","TOT","USD_CAP","A","2015",36629.677836,
"JPN","GDP","TOT","USD_CAP","A","2015",40658.229208,
"KOR","GDP","TOT","USD_CAP","A","2015",35203.697579,
"LUX","GDP","TOT","USD_CAP","A","2015",102553.861259,
"MEX","GDP","TOT","USD_CAP","A","2015",17604.721871,"E"
"NLD","GDP","TOT","USD_CAP","A","2015",49550.87358,"P"
"NZL","GDP","TOT","USD_CAP","A","2015",37205.578143,
"NOR","GDP","TOT","USD_CAP","A","2015",61713.18866,
"POL","GDP","TOT","USD_CAP","A","2015",26270.68427,"E"
"PRT","GDP","TOT","USD_CAP","A","2015",29532.32841,
"SVK","GDP","TOT","USD_CAP","A","2015",29529.977723,
"ESP","GDP","TOT","USD_CAP","A","2015",34846.384109,"P"
"SWE","GDP","TOT","USD_CAP","A","2015",47891.209381,
"CHE","GDP","TOT","USD_CAP","A","2015",63648.30306,
"TUR","GDP","TOT","USD_CAP","A","2015",25111.776455,"E"
"GBR","GDP","TOT","USD_CAP","A","2015",41591.886876,
"USA","GDP","TOT","USD_CAP","A","2015",56420.415166,
"CHL","GDP","TOT","USD_CAP","A","2015",22293.505129,
"CHN","GDP","TOT","USD_CAP","A","2015",14338.354124,
"COL","GDP","TOT","USD_CAP","A","2015",13833.175621,
"EST","GDP","TOT","USD_CAP","A","2015",28734.990002,
"IDN","GDP","TOT","USD_CAP","A","2015",11164.243341,"E"
"ISR","GDP","TOT","USD_CAP","A","2015",35901.775719,
"RUS","GDP","TOT","USD_CAP","A","2015",24709.724096,"E"
"SVN","GDP","TOT","USD_CAP","A","2015",31471.878591,
"ZAF","GDP","TOT","USD_CAP","A","2015",13282.009873,"E"
"EU28","GDP","TOT","USD_CAP","A","2015",38448.503342,
"OECD","GDP","TOT","USD_CAP","A","2015",41072.374195,"E"
"OECDE","GDP","TOT","USD_CAP","A","2015",38238.921339,"E"
"LVA","GDP","TOT","USD_CAP","A","2015",24545.767434,
"BRA","GDP","TOT","USD_CAP","A","2015",15730.82087,"E"
"LTU","GDP","TOT","USD_CAP","A","2015",28783.5364,
"SAU","GDP","TOT","USD_CAP","A","2015",54007.032456,
"EA19","GDP","TOT","USD_CAP","A","2015",40905.355385,
"ARG","GDP","TOT","USD_CAP","A","2015",20901.22355,
"CRI","GDP","TOT","USD_CAP","A","2015",15780.001626,
"BGR","GDP","TOT","USD_CAP","A","2015",18115.152992,
"HRV","GDP","TOT","USD_CAP","A","2015",22735.001802,
"CYP","GDP","TOT","USD_CAP","A","2015",31337.559524,
"MLT","GDP","TOT","USD_CAP","A","2015",35836.643137,
"ROU","GDP","TOT","USD_CAP","A","2015",21514.31408,"P"
